metric,mean,sd,stderr,ci95_low,ci95_high,n_seeds
utility_gap,0.02001922222222218,0.01245349210101608,0.002784685489512863,0.01456123866277697,0.025477205781667393,20
survival_gap_pp,1.7416666666666718,1.5193440797753932,0.33973566435896424,1.0757847645231018,2.407548568810242,20
mcts_utility,0.8125739999999999,0.013033596814614334,0.0029144008468802375,0.8068617743401146,0.8182862256598852,20
nccn_utility,0.7925547777777777,0.010820293433197964,0.0024194911653125225,0.7878125750937651,0.7972969804617903,20
mcts_survival_pct,76.9,1.721382553280018,0.3849128404416274,76.14557083273442,77.65442916726559,20
nccn_survival_pct,75.15833333333333,1.6983609229375838,0.3797650474017719,74.41399384042586,75.9026728262408,20
mcts_recurrence_pct,7.775,1.2696122261062084,0.2838939242638315,7.218567908442891,8.33143209155711,20
nccn_recurrence_pct,8.583333333333332,1.5862162120420502,0.3546887277138245,7.888143427014236,9.278523239652428,20
neoadjuvant_rate_pct,32.91666666666667,10.28646700810205,2.3001239478425064,28.408423728895357,37.424909604437985,20
bcs_rate_pct,45.36666666666666,10.735196525655429,2.40046291831851,40.66175934676238,50.07157398657094,20
intensified_rate_pct,23.516666666666666,10.654310277318757,2.3823762033459377,18.847209308108628,28.186124025224704,20
extended_rate_pct,10.483333333333333,6.123461735467202,1.3692476698123497,7.799607900501127,13.167058766165539,20
regional_rate_pct,23.108333333333334,8.524178717449415,1.9060643064573863,19.372447292676856,26.844219373989812,20
