seed_index,mcts_utility,nccn_utility,utility_gap,mcts_survival_pct,nccn_survival_pct,survival_gap_pp,mcts_recurrence_pct,nccn_recurrence_pct,mcts_toxicity,nccn_toxicity,neoadjuvant_rate_pct,bcs_rate_pct,intensified_rate_pct,extended_rate_pct,regional_rate_pct
0,0.8105866666666666,0.8069533333333334,0.0036333333333331552,77.66666666666667,77.49999999999999,0.16666666666668162,9.333333333333334,11.5,0.22333333333333336,0.295,41.66666666666667,43.99999999999999,26.166666666666664,13.333333333333334,13.166666666666666
1,0.8120733333333332,0.7998466666666667,0.012226666666666497,79.0,76.83333333333331,2.1666666666666834,8.333333333333332,8.499999999999998,0.2516666666666667,0.29333333333333333,33.33333333333333,47.16666666666667,18.833333333333336,20.666666666666668,21.166666666666668
2,0.78714,0.7798444444444442,0.007295555555555722,73.00000000000001,72.33333333333333,0.6666666666666821,8.5,7.333333333333332,0.31666666666666665,0.2616666666666667,33.33333333333333,27.333333333333332,41.83333333333333,0.0,20.500000000000004
3,0.8063666666666665,0.7939466666666665,0.012419999999999987,75.83333333333333,75.33333333333334,0.49999999999998934,8.333333333333332,11.0,0.24,0.2883333333333333,25.0,56.83333333333332,32.666666666666664,17.5,28.166666666666668
4,0.808082222222222,0.7871933333333332,0.020888888888888846,74.66666666666666,73.16666666666666,1.5000000000000013,7.333333333333335,9.333333333333334,0.18333333333333335,0.28,16.666666666666664,30.333333333333336,15.833333333333332,11.166666666666664,9.499999999999998
5,0.8351333333333332,0.798028888888889,0.03710444444444416,79.83333333333333,77.33333333333334,2.499999999999991,6.166666666666667,8.0,0.15833333333333335,0.26499999999999996,16.666666666666664,45.33333333333333,8.833333333333334,5.833333333333333,16.0
6,0.8257622222222221,0.7944466666666666,0.03131555555555543,78.16666666666666,75.16666666666666,3.0000000000000027,7.500000000000001,7.5,0.21166666666666667,0.3016666666666667,41.66666666666667,36.5,25.0,11.5,29.166666666666668
7,0.8092488888888889,0.7846088888888888,0.024640000000000106,76.66666666666667,75.83333333333333,0.8333333333333415,8.999999999999998,11.000000000000004,0.2316666666666667,0.26833333333333326,41.66666666666667,65.99999999999999,16.666666666666664,3.3333333333333335,3.5000000000000004
8,0.8086244444444444,0.7921111111111111,0.01651333333333327,75.66666666666667,75.33333333333333,0.33333333333334103,10.333333333333334,10.666666666666664,0.2283333333333333,0.2916666666666667,33.33333333333333,36.833333333333336,18.833333333333336,3.5000000000000004,14.666666666666666
9,0.7936177777777776,0.775591111111111,0.018026666666666635,75.33333333333334,73.66666666666667,1.6666666666666718,7.5,6.5,0.2966666666666667,0.27166666666666667,50.0,29.666666666666668,25.0,11.166666666666668,26.5
10,0.8170088888888887,0.7756333333333333,0.04137555555555539,76.33333333333333,71.16666666666666,5.166666666666675,8.166666666666668,7.5,0.2066666666666667,0.2383333333333333,33.33333333333333,55.99999999999999,9.666666666666668,12.666666666666668,26.666666666666668
11,0.8179844444444444,0.7960511111111112,0.02193333333333325,78.5,75.49999999999999,3.0000000000000138,7.666666666666668,9.166666666666668,0.28500000000000003,0.335,41.66666666666667,52.5,41.166666666666664,10.5,38.166666666666664
12,0.8290577777777774,0.7926822222222221,0.03637555555555538,79.0,75.99999999999999,3.0000000000000138,5.666666666666668,6.333333333333334,0.2783333333333333,0.305,25.0,40.0,24.833333333333332,0.0,28.166666666666668
13,0.8149777777777777,0.7967622222222223,0.01821555555555543,77.5,75.83333333333333,1.6666666666666718,8.166666666666666,8.833333333333332,0.2416666666666667,0.24500000000000008,25.0,61.83333333333333,25.333333333333336,7.333333333333333,28.166666666666668
14,0.8039066666666667,0.8098066666666665,-0.005899999999999794,76.16666666666667,76.66666666666666,-0.49999999999998934,8.5,7.166666666666667,0.3483333333333334,0.2816666666666667,41.66666666666667,38.66666666666667,40.833333333333336,13.166666666666666,28.499999999999996
15,0.8353422222222222,0.8062355555555554,0.029106666666666836,78.83333333333333,75.99999999999999,2.833333333333332,5.166666666666667,6.666666666666667,0.20333333333333337,0.2683333333333333,16.666666666666664,45.0,7.333333333333333,10.333333333333334,25.33333333333333
16,0.7941622222222223,0.7725177777777779,0.021644444444444466,75.99999999999999,73.5,2.499999999999991,7.833333333333334,8.0,0.25666666666666665,0.3183333333333333,33.33333333333333,45.333333333333336,32.5,19.500000000000004,23.0
17,0.8234377777777776,0.7884866666666666,0.034951111111111044,77.83333333333333,73.83333333333333,4.0000000000000036,6.666666666666667,7.833333333333332,0.225,0.2566666666666667,25.0,55.833333333333336,25.0,20.166666666666664,24.500000000000004
18,0.8043399999999999,0.7950799999999999,0.009260000000000046,75.5,75.5,0.0,8.833333333333334,10.000000000000002,0.24333333333333332,0.2866666666666667,50.0,40.666666666666664,9.166666666666668,7.166666666666667,36.33333333333333
19,0.8146266666666667,0.8052688888888889,0.009357777777777798,76.50000000000001,76.66666666666667,-0.1666666666666594,6.5,8.833333333333334,0.27,0.28333333333333327,33.33333333333333,51.5,24.833333333333332,10.833333333333334,21.0
