decision,population,n,reward_model_risk_difference,causal_risk_difference,sign_disagrees,gap
chemo,항암 (겹침 구간),420,0.009944615749557035,-0.02334028930757248,True,0.03328490505712951
hormone,호르몬 (ER 양성),564,0.008992268759352696,-0.04842607465368577,True,0.05741834341303847
hormone,호르몬 (ER 음성),270,0.009058117275249624,-0.13908400266932291,True,0.14814211994457255
radio,방사선 (전절제 후),584,-0.0017836874133537032,-0.05316358302947094,False,0.051379895616117235
