arm,subtype,mean,std,count,share,standard_error
as_fitted,HR+/HER2+,0.03875250000000004,0.016769552417663154,10,0.05263157894736842,0.005302998098139882
as_fitted,HR+/HER2-,0.013640555555555572,0.01623310344519115,10,0.7443609022556391,0.0051333580379930325
as_fitted,HR-/HER2+,0.050265833333333385,0.025342281458258644,10,0.07142857142857142,0.008013933051315064
as_fitted,TNBC,0.030335833333333374,0.018696672883250928,10,0.13157894736842105,0.005912407097818033
treatment_neutral,HR+/HER2+,0.0213977777777778,0.013262768183537735,10,0.05263157894736842,0.004194055553879333
treatment_neutral,HR+/HER2-,0.009969722222222237,0.011847309274859979,10,0.7443609022556391,0.003746448145299535
treatment_neutral,HR-/HER2+,0.02168222222222228,0.009728759988768708,10,0.07142857142857142,0.0030765040373623253
treatment_neutral,TNBC,0.02635888888888892,0.012971723745941192,10,0.13157894736842105,0.004102019221566552
