arm,seed_index,utility_gap
as_fitted,0,0.025572499999999998
as_fitted,1,0.03329000000000004
as_fitted,2,0.03397500000000009
as_fitted,3,0.03179333333333345
as_fitted,4,0.037149166666666567
as_fitted,5,0.029961666666666664
as_fitted,6,0.03672833333333325
as_fitted,7,0.03897499999999998
as_fitted,8,0.02062833333333358
as_fitted,9,0.03594750000000013
as_fitted,10,0.03239583333333318
as_fitted,11,0.04256749999999998
treatment_neutral,0,0.011221666666666907
treatment_neutral,1,0.02230583333333358
treatment_neutral,2,0.018314166666666853
treatment_neutral,3,0.022985833333333372
treatment_neutral,4,0.022038333333333382
treatment_neutral,5,0.021894999999999887
treatment_neutral,6,0.023667500000000175
treatment_neutral,7,0.01373833333333363
treatment_neutral,8,0.02649833333333329
treatment_neutral,9,0.01847333333333334
treatment_neutral,10,0.02264166666666667
treatment_neutral,11,0.01444583333333338
