arm,seed_index,utility_gap
baseline,0,0.011221666666666907
baseline,1,0.02230583333333358
baseline,2,0.018314166666666853
baseline,3,0.022985833333333372
baseline,4,0.022038333333333382
baseline,5,0.021894999999999887
baseline,6,0.023667500000000175
baseline,7,0.01373833333333363
baseline,8,0.02649833333333329
baseline,9,0.01847333333333334
baseline,10,0.02264166666666667
baseline,11,0.01444583333333338
cost_off,0,-0.010875000000000079
cost_off,1,0.006249999999999978
cost_off,2,0.0071666666666665435
cost_off,3,0.006624999999999992
cost_off,4,0.009708333333333319
cost_off,5,0.008999999999999897
cost_off,6,0.010500000000000065
cost_off,7,0.006999999999999784
cost_off,8,0.011083333333333223
cost_off,9,0.008333333333333415
cost_off,10,0.011499999999999955
cost_off,11,-0.0027916666666666368
benefit_off,0,0.009588333333333532
benefit_off,1,0.026443333333333485
benefit_off,2,0.024190000000000156
benefit_off,3,0.013544166666666912
benefit_off,4,0.017213333333333525
benefit_off,5,0.020018333333333138
benefit_off,6,0.026788333333333414
benefit_off,7,0.015072500000000155
benefit_off,8,0.0182500000000001
benefit_off,9,0.019294166666666723
benefit_off,10,0.017311666666666725
benefit_off,11,0.01292749999999998
both_off,0,-0.0149166666666668
both_off,1,0.002666666666666817
both_off,2,0.0014583333333332282
both_off,3,0.00562499999999988
both_off,4,0.004541666666666555
both_off,5,0.0032916666666664707
both_off,6,0.007958333333333178
both_off,7,4.166666666671759e-05
both_off,8,0.005666666666666487
both_off,9,-0.00158333333333327
both_off,10,0.0044999999999999485
both_off,11,-0.0032916666666666927
