recurrence_free_year,acute_toxicity_penalty,utility_gap,utility_gap_sd,standard_error
0.25,0.05,0.031317222222222246,0.013700090822771495,0.0039548755622247226
0.25,0.15,0.03435055555555564,0.013642088900248754,0.003938131849433712
0.25,0.3,0.04417666666666673,0.014004386181594426,0.004042718065889509
0.5,0.05,0.024145370370370522,0.020984854224150067,0.006057805617609048
0.5,0.15,0.03364259259259273,0.01307501909004392,0.003774432895648177
0.5,0.3,0.03398055555555573,0.01203237717364834,0.003473448100098489
1.0,0.05,0.01946666666666651,0.015494751168141604,0.004472949378976412
1.0,0.15,0.02262083333333319,0.0158876699221615,0.004586375253177932
1.0,0.3,0.020809027777777666,0.016746553319564483,0.004834313533524488
