seed_index,did_per_seed
0,-0.005422500000000108
1,-0.04419083333333351
2,-0.02402750000000009
3,-0.03906750000000003
4,0.030146666666666766
5,-0.0029008333333332414
6,-0.05262083333333345
7,-0.011199166666666871
8,-0.0033074999999997967
9,0.010873333333333512
10,0.011068333333333347
11,-0.007556666666666545
