budget,mean_agreement_pct,min_agreement_pct,mean_value_noise_sd,mean_abs_value_gap,mean_separation,unstable_node_pct
64,57.755102040816325,40.0,0.060726902094285475,0.024030036725826424,0.43623306011848684,83.6734693877551
128,60.204081632653065,40.0,0.03974082983588663,0.020583389730036337,0.5515772046642871,89.79591836734694
256,66.93877551020408,40.0,0.027248988247348477,0.01929357673220045,0.733824363871671,71.42857142857143
512,71.22448979591837,40.0,0.02014705581375364,0.018752661801275872,0.9481995997104442,55.10204081632652
1024,76.73469387755102,40.0,0.014264060358349527,0.019828038701385227,1.4047187917706263,44.89795918367347
2048,81.22448979591837,40.0,0.00996745279143202,0.018143227756322232,1.8672254464737599,32.6530612244898
