seed_index,budget,mcts_utility,nccn_utility,utility_gap,survival_gap_pp,mcts_toxicity
0,64,0.8163555555555555,0.8043955555555554,0.011960000000000082,1.6666666666666607,0.2866666666666667
0,256,0.8271688888888887,0.8043955555555554,0.022773333333333312,1.6666666666666607,0.2366666666666667
0,1024,0.8351288888888889,0.8043955555555554,0.0307333333333335,2.0000000000000018,0.21
1,64,0.792862222222222,0.7955777777777776,-0.002715555555555582,0.6666666666666488,0.2866666666666667
1,256,0.8065377777777778,0.7955777777777776,0.010960000000000192,1.6666666666666607,0.2333333333333334
1,1024,0.8310044444444444,0.7955777777777776,0.03542666666666683,3.3333333333333326,0.14333333333333334
2,64,0.8024577777777777,0.7907288888888888,0.0117288888888889,1.000000000000012,0.3
2,256,0.7961111111111112,0.7907288888888888,0.005382222222222399,-0.666666666666671,0.2733333333333333
2,1024,0.8145822222222222,0.7907288888888888,0.023853333333333393,0.6666666666666821,0.14
3,64,0.7893111111111111,0.7909599999999998,-0.0016488888888886999,0.33333333333334103,0.3133333333333333
3,256,0.7939911111111111,0.7909599999999998,0.0030311111111113176,-0.6666666666666599,0.25333333333333335
3,1024,0.8111200000000002,0.7909599999999998,0.0201600000000004,0.6666666666666599,0.19666666666666668
4,64,0.7938222222222223,0.7794888888888888,0.014333333333333531,1.6666666666666718,0.27
4,256,0.8046088888888888,0.7794888888888888,0.02512000000000003,2.0000000000000018,0.20333333333333337
4,1024,0.8234266666666668,0.7794888888888888,0.043937777777777964,4.0000000000000036,0.17333333333333334
5,64,0.8164755555555555,0.8029955555555555,0.013480000000000047,1.333333333333342,0.2833333333333333
5,256,0.8435155555555555,0.8029955555555555,0.04052,3.0000000000000027,0.15666666666666668
5,1024,0.8446533333333334,0.8029955555555555,0.041657777777777905,2.6666666666666727,0.17
6,64,0.8141644444444444,0.8018444444444444,0.012319999999999998,3.3333333333333437,0.2966666666666667
6,256,0.8408177777777778,0.8018444444444444,0.038973333333333415,5.000000000000027,0.20333333333333337
6,1024,0.847848888888889,0.8018444444444444,0.046004444444444625,2.666666666666684,0.13999999999999999
7,64,0.7875999999999999,0.7683866666666664,0.019213333333333416,0.33333333333334103,0.31
7,256,0.7906844444444445,0.7683866666666664,0.022297777777778083,0.33333333333334103,0.22000000000000006
7,1024,0.7981866666666667,0.7683866666666664,0.02980000000000027,0.6666666666666599,0.15666666666666668
8,64,0.8307244444444444,0.8007777777777777,0.029946666666666677,2.333333333333343,0.17
8,256,0.8129866666666666,0.8007777777777777,0.012208888888888936,-0.6666666666666488,0.22333333333333336
8,1024,0.8117911111111112,0.8007777777777777,0.011013333333333541,-1.000000000000012,0.2066666666666667
9,64,0.76464,0.7610977777777777,0.0035422222222223354,2.9999999999999805,0.31333333333333335
9,256,0.7779955555555556,0.7610977777777777,0.0168977777777779,2.3333333333333206,0.27666666666666667
9,1024,0.7912088888888889,0.7610977777777777,0.0301111111111112,3.0000000000000027,0.18000000000000002
