budget,mean_agreement_pct,mean_value_noise_sd,mean_abs_value_gap
64,63.333333333333336,0.05237620074957037,0.02868045501555592
128,65.0,0.04190650287237341,0.017098437435876496
256,72.5,0.024137411778832735,0.015910750515425297
512,70.83333333333333,0.0194227126255157,0.014798295833905952
1024,76.66666666666667,0.01300331845230978,0.016724724139187724
2048,87.5,0.009330074376526722,0.015921906598546504
