seed_index,budget,mcts_utility,nccn_utility,utility_gap,survival_gap_pp,mcts_toxicity
0,64,0.8160311111111112,0.8043955555555554,0.011635555555555732,2.0000000000000018,0.3166666666666667
0,256,0.82644,0.8043955555555554,0.022044444444444533,0.9999999999999898,0.24000000000000002
0,1024,0.8265066666666666,0.8043955555555554,0.022111111111111192,0.666666666666671,0.22000000000000006
1,64,0.7929644444444444,0.7955777777777776,-0.0026133333333332454,1.9999999999999907,0.3166666666666667
1,256,0.805071111111111,0.7955777777777776,0.009493333333333354,1.6666666666666607,0.23666666666666672
1,1024,0.8328311111111111,0.7955777777777776,0.03725333333333347,2.6666666666666505,0.1566666666666667
2,64,0.8055022222222221,0.7907288888888888,0.014773333333333305,1.000000000000012,0.2866666666666667
2,256,0.7965111111111108,0.7907288888888888,0.005782222222222022,-1.3333333333333308,0.22666666666666666
2,1024,0.7848044444444445,0.7907288888888888,-0.005924444444444288,-3.9999999999999925,0.2366666666666667
3,64,0.8092222222222222,0.7909599999999998,0.018262222222222402,3.0000000000000027,0.27999999999999997
3,256,0.813231111111111,0.7909599999999998,0.02227111111111124,1.6666666666666718,0.22
3,1024,0.8329022222222223,0.7909599999999998,0.04194222222222255,3.6666666666666625,0.17666666666666667
4,64,0.7951199999999999,0.7794888888888888,0.01563111111111115,1.6666666666666718,0.26666666666666666
4,256,0.8112977777777778,0.7794888888888888,0.031808888888889,2.6666666666666727,0.22333333333333336
4,1024,0.8165422222222221,0.7794888888888888,0.03705333333333327,4.0000000000000036,0.17666666666666667
5,64,0.8172266666666665,0.8029955555555555,0.014231111111111083,1.333333333333342,0.2866666666666667
5,256,0.8355022222222223,0.8029955555555555,0.032506666666666795,2.333333333333343,0.17333333333333334
5,1024,0.8405999999999999,0.8029955555555555,0.03760444444444444,2.3333333333333317,0.15333333333333332
6,64,0.81736,0.8018444444444444,0.015515555555555616,4.000000000000014,0.3266666666666667
6,256,0.8310177777777777,0.8018444444444444,0.029173333333333384,4.666666666666686,0.27
6,1024,0.8484222222222223,0.8018444444444444,0.04657777777777794,4.666666666666686,0.15000000000000002
7,64,0.7889688888888889,0.7683866666666664,0.0205822222222225,0.33333333333334103,0.2933333333333334
7,256,0.7975599999999998,0.7683866666666664,0.029173333333333384,2.333333333333343,0.20999999999999996
7,1024,0.8039644444444444,0.7683866666666664,0.03557777777777793,1.3333333333333308,0.14666666666666664
8,64,0.8351822222222222,0.8007777777777777,0.03440444444444446,2.6666666666666727,0.17333333333333334
8,256,0.8145422222222223,0.8007777777777777,0.013764444444444579,0.0,0.21000000000000005
8,1024,0.8388711111111111,0.8007777777777777,0.03809333333333342,2.333333333333343,0.16000000000000003
9,64,0.770911111111111,0.7610977777777777,0.00981333333333334,3.3333333333333215,0.31333333333333335
9,256,0.7770488888888888,0.7610977777777777,0.015951111111111138,2.9999999999999805,0.32333333333333336
9,1024,0.7844266666666666,0.7610977777777777,0.023328888888888955,3.6666666666666625,0.2066666666666667
