seed_index,arm,mcts_utility,nccn_utility,utility_gap,mcts_survival_pct,survival_gap_pp,mcts_recurrence_pct,mcts_neoadjuvant_pct,nccn_neoadjuvant_pct,mcts_intensified_pct,mcts_toxicity
0,biased,0.8265066666666666,0.8043955555555555,0.02211111111111108,77.66666666666666,0.6666666666666599,7.333333333333333,41.66666666666667,0.0,16.666666666666664,0.22
0,fixed,0.8351288888888888,0.8043955555555555,0.03073333333333328,79.0,2.0000000000000018,7.666666666666666,25.0,0.0,25.0,0.21
1,biased,0.832831111111111,0.7955777777777778,0.03725333333333314,78.33333333333333,2.6666666666666616,7.000000000000001,8.333333333333332,0.0,7.666666666666666,0.15666666666666668
1,fixed,0.8310044444444443,0.7955777777777778,0.035426666666666495,79.0,3.3333333333333326,9.333333333333334,33.33333333333333,0.0,8.333333333333332,0.14333333333333334
2,biased,0.7848044444444444,0.7907288888888888,-0.005924444444444399,68.66666666666667,-4.0000000000000036,4.333333333333334,41.66666666666667,0.0,16.666666666666664,0.23666666666666666
2,fixed,0.8145822222222223,0.7907288888888888,0.023853333333333504,73.33333333333333,0.6666666666666599,6.333333333333334,16.666666666666664,0.0,8.333333333333332,0.14
3,biased,0.8329022222222221,0.7909599999999999,0.041942222222222214,79.0,3.6666666666666736,11.666666666666666,8.333333333333332,0.0,16.333333333333332,0.17666666666666667
3,fixed,0.81112,0.7909599999999999,0.020160000000000067,76.0,0.666666666666671,9.666666666666666,25.0,0.0,16.333333333333332,0.19666666666666666
4,biased,0.8165422222222222,0.7794888888888889,0.03705333333333327,77.0,4.0000000000000036,7.333333333333333,16.666666666666664,0.0,17.0,0.17666666666666667
4,fixed,0.8234266666666665,0.7794888888888889,0.04393777777777763,77.0,4.0000000000000036,6.666666666666667,16.666666666666664,0.0,8.0,0.17333333333333334
5,biased,0.8405999999999998,0.8029955555555556,0.03760444444444422,81.0,2.333333333333343,4.666666666666667,0.0,0.0,0.0,0.15333333333333332
5,fixed,0.8446533333333331,0.8029955555555556,0.04165777777777757,81.33333333333333,2.6666666666666727,4.0,16.666666666666664,0.0,8.333333333333332,0.17
6,biased,0.8484222222222222,0.8018444444444444,0.04657777777777783,80.0,4.666666666666675,4.666666666666667,25.0,0.0,16.666666666666664,0.15
6,fixed,0.8478488888888889,0.8018444444444444,0.046004444444444514,78.0,2.6666666666666727,6.0,16.666666666666664,0.0,0.0,0.14
7,biased,0.8039644444444444,0.7683866666666667,0.03557777777777771,75.0,1.3333333333333308,9.666666666666666,16.666666666666664,0.0,16.666666666666664,0.14666666666666667
7,fixed,0.7981866666666665,0.7683866666666667,0.029799999999999827,74.33333333333333,0.6666666666666599,9.666666666666666,33.33333333333333,0.0,8.333333333333332,0.15666666666666668
8,biased,0.838871111111111,0.8007777777777778,0.0380933333333332,79.0,2.3333333333333317,8.666666666666668,16.666666666666664,0.0,8.333333333333332,0.16
8,fixed,0.8117911111111111,0.8007777777777778,0.01101333333333332,75.66666666666667,-1.0000000000000009,7.666666666666666,25.0,0.0,25.666666666666664,0.20666666666666667
9,biased,0.7844266666666666,0.7610977777777777,0.023328888888888955,74.66666666666667,3.6666666666666736,8.0,33.33333333333333,0.0,8.333333333333332,0.20666666666666667
9,fixed,0.7912088888888887,0.7610977777777777,0.03011111111111109,74.0,3.0000000000000027,8.333333333333332,8.333333333333332,0.0,0.0,0.18
