metric,biased_mean,fixed_mean,paired_delta_mean,paired_delta_ci95_low,paired_delta_ci95_high,crosses_zero
utility_gap,0.031361777777777725,0.03126977777777773,-9.199999999999209e-05,-0.01003391631113735,0.009849916311137368,True
survival_gap_pp,2.133333333333335,1.8666666666666676,-0.26666666666666733,-1.7040000000000006,1.170666666666666,True
mcts_utility,0.8209871111111109,0.820895111111111,-9.199999999999209e-05,-0.01003391631113735,0.009849916311137368,True
nccn_utility,0.7896253333333334,0.7896253333333334,0.0,0.0,0.0,True
mcts_survival_pct,77.03333333333333,76.76666666666667,-0.26666666666666716,-1.7039999999999993,1.1706666666666647,True
mcts_recurrence_pct,7.333333333333334,7.533333333333333,0.19999999999999965,-0.6501705275566347,1.050170527556634,True
mcts_neoadjuvant_pct,20.833333333333332,21.666666666666664,0.8333333333333318,-10.703237610227085,12.369904276893749,True
nccn_neoadjuvant_pct,0.0,0.0,0.0,0.0,0.0,True
mcts_intensified_pct,12.433333333333332,10.833333333333332,-1.5999999999999994,-8.07192174409799,4.871921744097991,True
mcts_toxicity,0.17833333333333332,0.17166666666666666,-0.006666666666666663,-0.030182633399038615,0.016849300065705293,True
