estimator,risk_treated,risk_control,risk_difference,risk_ratio
ipw_km,0.22812026860296775,0.2641158503886035,-0.03599558178563578,0.8637129057848133
g_computation,0.22231571475105807,0.2530072836683556,-0.030691568917297546,0.878692943253253
aipw,0.2341659677153545,0.26603442925669624,-0.031868461541341736,0.8802092585144613
