decision,label,covariate_spec,eligible,treated,treated_pct,median_propensity_control,median_propensity_treated,propensity_separation,untrimmed_worst_abs_smd,untrimmed_effective_sample_size,trimmed_n,retained_pct,trimmed_worst_abs_smd,trimmed_balanced_pct,trimmed_effective_sample_size,identifiable
chemo,보조 항암치료,baseline,1354,301,22.23042836041359,0.03901137638498586,0.6941914294327499,0.655180053047764,2.191453904307257,23.65275655058117,515,38.03545051698671,0.048188221182882025,100.0,309.4582642957141,True
hormone,호르몬치료,baseline,1354,825,60.93057607090103,0.4160896245338743,0.7897522713658117,0.3736626468319374,0.1679683374486035,714.4558327137008,1205,88.99556868537665,0.05590850619910672,100.0,825.3897854632398,True
radio,방사선치료,baseline,1354,907,66.98670605612999,0.6219964478426344,0.6798002726033268,0.057803824760692346,2.109697801021955,164.39282693887833,1304,96.30723781388478,0.08628998450165169,100.0,1171.0382863466725,True
chemo,보조 항암치료,baseline + surgery,1341,297,22.14765100671141,0.0376063480411166,0.6934567143403909,0.6558503662992743,1.9386487192922022,29.428955504075045,501,37.360178970917225,0.04639212403219727,100.0,288.4296866852276,True
hormone,호르몬치료,baseline + surgery,1341,821,61.22296793437732,0.421389014746788,0.7941075617366485,0.3727185469898605,0.12994179091163063,710.3997188073931,1198,89.33631618195376,0.06308918085491828,100.0,805.7606872321616,True
radio,방사선치료,baseline + surgery,1341,902,67.26323639075316,0.3793329743904429,0.8820122039748972,0.5026792295844543,5.510988056044529,12.203632048989233,923,68.82923191648024,0.23430799900955757,84.61538461538461,497.0620424662526,False
