metric,mean,sd,stderr,ci95_low,ci95_high,n_seeds
utility_gap,0.020000222222222214,0.014210701069943188,0.003177609360032196,0.01377210787655911,0.02622833656788532,20
survival_gap_pp,1.9083333333333379,1.85156406145837,0.41402231061165135,1.0968496045345013,2.7198170621321744,20
mcts_utility,0.8125549999999999,0.012215731798742836,0.002731520669689476,0.8072012194874085,0.8179087805125913,20
nccn_utility,0.7925547777777777,0.010820293433197964,0.0024194911653125225,0.7878125750937651,0.7972969804617903,20
mcts_survival_pct,77.06666666666666,1.6153503413025299,0.3612033170629943,76.35870816522319,77.77462516811013,20
nccn_survival_pct,75.15833333333333,1.6983609229375838,0.3797650474017719,74.41399384042586,75.9026728262408,20
mcts_recurrence_pct,7.55,1.1030261405182868,0.24664414311581243,7.066577479493008,8.033422520506992,20
nccn_recurrence_pct,8.583333333333332,1.5862162120420502,0.3546887277138245,7.888143427014236,9.278523239652428,20
neoadjuvant_rate_pct,37.08333333333333,15.168401674425859,3.391757725403785,30.43548819154191,43.73117847512475,20
bcs_rate_pct,47.325,10.639971392258074,2.3791699311742134,42.66182693489854,51.98817306510146,20
intensified_rate_pct,26.775,10.625231335630886,2.375873954313154,22.11828704954622,31.43171295045378,20
extended_rate_pct,9.466666666666665,6.234595050089179,1.3940978344183108,6.7342349112067765,12.199098422126553,20
regional_rate_pct,22.5,9.174558006786105,2.051493536668871,18.479072668129014,26.520927331870986,20
