seed_index,mcts_utility,nccn_utility,utility_gap,mcts_survival_pct,nccn_survival_pct,survival_gap_pp,mcts_recurrence_pct,nccn_recurrence_pct,mcts_toxicity,nccn_toxicity,neoadjuvant_rate_pct,bcs_rate_pct,intensified_rate_pct,extended_rate_pct,regional_rate_pct
0,0.8076311111111111,0.8069533333333334,0.0006777777777776661,76.83333333333334,77.49999999999999,-0.6666666666666488,8.666666666666668,11.5,0.22,0.295,50.0,51.000000000000014,26.166666666666664,11.5,7.333333333333333
1,0.8006022222222221,0.7998466666666667,0.0007555555555553983,77.99999999999999,76.83333333333331,1.1666666666666714,7.166666666666667,8.499999999999998,0.26333333333333336,0.29333333333333333,33.33333333333333,38.5,10.5,15.666666666666664,25.33333333333333
2,0.7878844444444443,0.7798444444444442,0.008040000000000047,72.66666666666666,72.33333333333333,0.33333333333332993,8.5,7.333333333333332,0.285,0.2616666666666667,33.33333333333333,22.33333333333333,25.166666666666664,0.0,23.833333333333336
3,0.8167622222222221,0.7939466666666665,0.02281555555555559,76.5,75.33333333333334,1.1666666666666603,8.666666666666668,11.0,0.19833333333333333,0.2883333333333333,8.333333333333332,56.99999999999999,16.166666666666664,18.499999999999996,37.66666666666667
4,0.8258777777777776,0.7871933333333332,0.03868444444444441,77.66666666666667,73.16666666666666,4.500000000000015,7.666666666666668,9.333333333333334,0.2116666666666667,0.28,25.0,38.99999999999999,32.5,8.666666666666668,13.5
5,0.8268688888888888,0.798028888888889,0.028839999999999755,79.33333333333333,77.33333333333334,1.9999999999999907,6.333333333333332,8.0,0.18000000000000002,0.26499999999999996,25.0,44.5,8.833333333333334,3.0,24.833333333333332
6,0.81616,0.7944466666666666,0.021713333333333362,78.33333333333333,75.16666666666666,3.166666666666673,6.666666666666668,7.5,0.26166666666666666,0.3016666666666667,58.333333333333336,25.666666666666664,33.33333333333333,15.0,35.5
7,0.8121733333333334,0.7846088888888888,0.027564444444444614,77.5,75.83333333333333,1.6666666666666718,8.666666666666668,11.000000000000004,0.20833333333333334,0.26833333333333326,25.0,57.166666666666664,16.5,2.5,7.166666666666667
8,0.8137799999999998,0.7921111111111111,0.021668888888888738,76.83333333333331,75.33333333333333,1.4999999999999902,9.833333333333334,10.666666666666664,0.22666666666666668,0.2916666666666667,25.0,42.83333333333334,27.166666666666668,4.0,16.333333333333332
9,0.7992488888888888,0.775591111111111,0.023657777777777778,76.83333333333334,73.66666666666667,3.166666666666673,6.833333333333334,6.5,0.3383333333333334,0.27166666666666667,66.66666666666666,49.833333333333336,49.666666666666664,13.666666666666668,19.666666666666664
10,0.822511111111111,0.7756333333333333,0.046877777777777685,76.83333333333331,71.16666666666666,5.666666666666664,7.5,7.5,0.2066666666666667,0.2383333333333333,33.33333333333333,54.833333333333336,26.333333333333336,8.833333333333334,17.999999999999996
11,0.8185444444444444,0.7960511111111112,0.022493333333333254,78.66666666666667,75.49999999999999,3.1666666666666843,8.166666666666666,9.166666666666668,0.2733333333333333,0.335,33.33333333333333,52.16666666666667,32.83333333333333,5.833333333333333,33.83333333333333
12,0.8300488888888887,0.7926822222222221,0.03736666666666666,79.33333333333334,75.99999999999999,3.333333333333355,6.666666666666667,6.333333333333334,0.285,0.305,58.333333333333336,47.833333333333336,41.5,3.833333333333334,14.833333333333332
13,0.81204,0.7967622222222223,0.015277777777777724,77.16666666666666,75.83333333333333,1.3333333333333308,7.166666666666667,8.833333333333332,0.2466666666666667,0.24500000000000008,41.66666666666667,59.833333333333336,33.666666666666664,4.166666666666666,21.333333333333336
14,0.8041022222222223,0.8098066666666665,-0.005704444444444179,75.5,76.66666666666666,-1.1666666666666603,6.999999999999999,7.166666666666667,0.3233333333333333,0.2816666666666667,50.0,48.33333333333334,32.5,20.166666666666664,24.333333333333336
15,0.8331444444444444,0.8062355555555554,0.026908888888888982,79.16666666666666,75.99999999999999,3.166666666666673,6.0,6.666666666666667,0.21333333333333337,0.2683333333333333,16.666666666666664,44.16666666666667,15.666666666666664,10.666666666666668,20.5
16,0.7939155555555555,0.7725177777777779,0.021397777777777627,75.49999999999999,73.5,1.9999999999999907,6.833333333333334,8.0,0.24166666666666667,0.3183333333333333,25.0,41.333333333333336,24.166666666666668,19.666666666666664,28.333333333333332
17,0.8203555555555555,0.7884866666666666,0.03186888888888895,77.33333333333334,73.83333333333333,3.500000000000014,6.333333333333334,7.833333333333332,0.22333333333333336,0.2566666666666667,41.66666666666667,61.66666666666667,25.0,12.0,29.166666666666668
18,0.8049911111111112,0.7950799999999999,0.009911111111111315,76.16666666666667,75.5,0.666666666666671,9.500000000000002,10.000000000000002,0.24333333333333337,0.2866666666666667,41.66666666666667,47.666666666666664,17.5,9.666666666666668,36.33333333333333
19,0.8044577777777778,0.8052688888888889,-0.0008111111111110958,75.16666666666669,76.66666666666667,-1.4999999999999902,6.833333333333333,8.833333333333334,0.2750000000000001,0.28333333333333327,50.0,60.83333333333334,40.33333333333333,2.0,12.166666666666666
