subtype,n_sampled,sample_weight,population_share,mean_gap,sd_gap,standard_error
HR+/HER2-,10,0.25,0.7443609022556391,0.013640555555555562,0.016233103445191136,0.005133358037993028
TNBC,10,0.25,0.13157894736842105,0.03033583333333332,0.018696672883250928,0.005912407097818033
HR-/HER2+,10,0.25,0.07142857142857142,0.05026583333333334,0.02534228145825863,0.00801393305131506
HR+/HER2+,10,0.25,0.05263157894736842,0.03875249999999999,0.01676955241766314,0.005302998098139878
