bounds,n,n_treated,worst_abs_smd,balanced_pct,effective_sample_size,risk_difference,risk_ratio
"[0.05, 0.95]",706,251,0.22926395197820015,91.66666666666666,227.49080486678704,-0.0747057805427741,0.7630170186143612
"[0.1, 0.9]",515,216,0.048188221182882025,100.0,309.4582642957141,-0.03599558178563578,0.8637129057848133
"[0.15, 0.85]",399,179,0.04005325026175449,100.0,276.1053612157829,-0.03032803445101273,0.8814540750438892
