covariate,mean_treated,mean_control,smd_crude,smd_weighted,balanced_after
age,51.2300925925926,55.43846153846153,-0.4198043360685961,0.048188221182882025,True
tumor_size_mm,28.99074074074074,27.963210702341136,0.06205129663680843,-0.016677395199072766,True
lymph_pos,3.2731481481481484,1.8762541806020068,0.3391755747625415,0.02080129049405979,True
stage,2.0555555555555554,1.9130434782608696,0.25835781917013007,0.02222084858631992,True
grade,2.7731481481481484,2.648829431438127,0.254530273286714,-0.004076410310491886,True
er,0.4861111111111111,0.7023411371237458,-0.45051412845156713,-0.0066465432692883655,True
pr,0.3148148148148148,0.45819397993311034,-0.2971006555769408,0.0032542072145398276,True
her2,0.21296296296296297,0.15719063545150502,0.14368880655724034,-0.02110357305973576,True
menopause=Pre,0.46296296296296297,0.3010033444816054,0.33738254492589326,-0.021912362945630284,True
subtype=HR+/HER2+,0.06944444444444445,0.0903010033444816,-0.0768404925055905,-0.04597275902446837,True
subtype=HR-/HER2+,0.14351851851851852,0.06688963210702341,0.2511966628223639,0.01405302946437181,True
subtype=TNBC,0.3611111111111111,0.22408026755852842,0.30404986965217706,-0.003236406741178022,True
