covariate,mean_treated,mean_control,smd_crude,smd_weighted,balanced_after
age,50.245847176079735,63.31025641025641,-1.133468067029326,1.0717665167449026,False
tumor_size_mm,31.921926910299003,24.12440645773979,0.4530189967012989,0.14538544476400003,False
lymph_pos,4.189368770764119,1.2402659069325737,0.6719914864525125,-2.191453904307257,False
stage,2.1495016611295683,1.6438746438746439,0.8967244834343807,0.1814000719780536,False
grade,2.784053156146179,2.338081671415005,0.788868975328123,-0.1352246684751295,False
er,0.42524916943521596,0.8670465337132004,-1.0404402934389563,0.47672331394559553,False
pr,0.2956810631229236,0.5849952516619183,-0.6086075797847944,0.5439284382574621,False
her2,0.24916943521594684,0.08831908831908832,0.4391614695720022,-0.7068470069522903,False
menopause=Pre,0.4983388704318937,0.15384615384615385,0.7891461396222901,-0.5763480894247941,False
subtype=HR+/HER2+,0.06976744186046512,0.0560303893637227,0.056540766286357985,-0.08502938271212046,True
subtype=HR-/HER2+,0.17940199335548174,0.032288698955365625,0.4917682011280426,-0.796372272967077,False
subtype=TNBC,0.36212624584717606,0.09876543209876543,0.6575229488751629,0.07535594191013588,True
