arm,covariate,mean_treated,mean_control,smd_crude,smd_weighted,balanced_after
hormone_er_positive,age,62.1742372881356,58.43308550185874,0.3160996509972122,0.012269066748923044,True
hormone_er_positive,tumor_size_mm,22.996610169491525,20.364312267657994,0.2683694268368141,-0.03211546149842222,True
hormone_er_positive,lymph_pos,0.0,0.0,0.0,0.0,True
hormone_er_positive,stage,1.4,1.3011152416356877,0.20200400661955986,-0.005068152703163269,True
hormone_er_positive,grade,2.3423728813559324,2.0892193308550184,0.38937379259838,0.0015253974558887037,True
hormone_er_positive,pr,0.6745762711864407,0.7323420074349443,-0.1265050029284022,-0.010804810284192789,True
hormone_er_positive,her2,0.08813559322033898,0.03345724907063197,0.22993221695490285,0.004622882031154484,True
hormone_er_positive,menopause=Pre,0.15254237288135594,0.30111524163568776,-0.35984346477384493,-0.015624789375920841,True
hormone_er_positive,subtype=HR+/HER2+,0.08813559322033898,0.03345724907063197,0.22993221695490285,0.004622882031154484,True
hormone_er_positive,surgery=BREAST CONSERVING,0.5525423728813559,0.5055762081784386,0.09402811058296183,0.017457879093643373,True
hormone_er_negative,age,60.59135802469135,55.520634920634926,0.4030923050357997,0.012249611297278556,True
hormone_er_negative,tumor_size_mm,29.530864197530864,27.193121693121693,0.11955263897048174,-0.00256826267735022,True
hormone_er_negative,lymph_pos,3.580246913580247,2.7566137566137567,0.153137603059533,0.01979729897461744,True
hormone_er_negative,stage,1.9135802469135803,1.8783068783068784,0.054582107437055355,-0.015824007996608415,True
hormone_er_negative,grade,2.814814814814815,2.8624338624338623,-0.11431397777015902,0.001278434435411875,True
hormone_er_negative,pr,0.037037037037037035,0.042328042328042326,-0.02698946148479853,-0.02973476215868245,True
hormone_er_negative,her2,0.24691358024691357,0.25396825396825395,-0.01621126381876926,0.08012909409549611,True
hormone_er_negative,menopause=Pre,0.14814814814814814,0.3333333333333333,-0.4419316376920946,0.015724587608483873,True
hormone_er_negative,subtype=HR+/HER2+,0.012345679012345678,0.005291005291005291,0.07512482264253481,0.0003711232897490625,True
hormone_er_negative,subtype=HR-/HER2+,0.2345679012345679,0.24867724867724866,-0.0328203885305194,0.0810313004182275,True
hormone_er_negative,subtype=TNBC,0.7283950617283951,0.708994708994709,0.042967464301502875,-0.0642414439824874,True
hormone_er_negative,surgery=BREAST CONSERVING,0.37037037037037035,0.3862433862433862,-0.03259024992263768,-0.042043646146048344,True
chemo_with_surgery,age,51.91046511627906,54.513709677419364,-0.275739626551041,0.008284366807466564,True
chemo_with_surgery,tumor_size_mm,28.482558139534884,27.451612903225808,0.06903750938854276,0.01617768924045797,True
chemo_with_surgery,lymph_pos,2.9244186046511627,1.935483870967742,0.2672462979840555,0.027698393423950474,True
chemo_with_surgery,stage,2.0348837209302326,1.8951612903225807,0.2551978640204731,0.030224763547485906,True
chemo_with_surgery,grade,2.738372093023256,2.6330645161290325,0.20902946826235602,-0.02825458947491436,True
chemo_with_surgery,er,0.5348837209302325,0.7137096774193549,-0.3747590962532585,0.05310043946782655,True
chemo_with_surgery,pr,0.3372093023255814,0.4596774193548387,-0.2515149134065506,0.008300938260153866,True
chemo_with_surgery,her2,0.20348837209302326,0.1532258064516129,0.13125093293303106,-0.02625835814933491,True
chemo_with_surgery,menopause=Pre,0.43023255813953487,0.33064516129032256,0.20570004197131878,-0.016749155083590286,True
chemo_with_surgery,subtype=HR+/HER2+,0.08139534883720931,0.08870967741935484,-0.026158079892311017,-0.03239372729520035,True
chemo_with_surgery,subtype=HR-/HER2+,0.12209302325581395,0.06451612903225806,0.19841643412616233,-0.0034381882279728958,True
chemo_with_surgery,subtype=TNBC,0.3313953488372093,0.21370967741935484,0.26596518831977356,-0.055927742561526474,True
chemo_with_surgery,surgery=BREAST CONSERVING,0.3953488372093023,0.4153225806451613,-0.040591551091947495,0.0352929452247623,True
radio_mastectomy,age,60.56294820717131,62.56846846846845,-0.15026522036953943,-0.010702189408619393,True
radio_mastectomy,tumor_size_mm,29.388446215139442,25.44144144144144,0.3188478994670543,0.02550566539160618,True
radio_mastectomy,lymph_pos,1.3545816733067728,0.5195195195195195,0.7703203445579342,-0.014343155711661285,True
radio_mastectomy,stage,1.952191235059761,1.6756756756756757,0.5622883868233388,0.0048953648258878175,True
radio_mastectomy,grade,2.605577689243028,2.4024024024024024,0.3470324925029803,-0.017985158436356175,True
radio_mastectomy,er,0.7290836653386454,0.8198198198198198,-0.2180027359684956,-0.014481525497054195,True
radio_mastectomy,pr,0.49800796812749004,0.5495495495495496,-0.10315679406661035,0.0020195220908877137,True
radio_mastectomy,her2,0.14342629482071714,0.12012012012012012,0.06882254326577299,0.010220321966085157,True
radio_mastectomy,menopause=Pre,0.2589641434262948,0.19519519519519518,0.15238546060842853,0.01183135254686739,True
radio_mastectomy,subtype=HR+/HER2+,0.05976095617529881,0.057057057057057055,0.011509708650850997,0.020637379223144042,True
