arm,label,treatment,prespecified,eligible,analysed,retained_pct,treated_pct,trimmed_worst_abs_smd,identifiable,trim_iterations,effective_sample_size,ipw_km,g_computation,aipw,aipw_ci_low,aipw_ci_high,risk_ratio,estimator_spread,e_value_point,e_value_ci_limit
hormone_er_positive,호르몬치료 (ER 양성),hormone,True,1031,564,54.704170708050434,71.58098933074685,0.03211546149842222,True,5,499.54447832312576,-0.0531825508266337,-0.05006887936258762,-0.04842607465368577,-0.10991113397923334,0.00032672207231710656,0.6342137268542675,0.004756476172947929,2.530381486472815,1.0
hormone_er_negative,"호르몬치료 (ER 음성, 음성대조)",hormone,True,310,270,87.09677419354838,26.7741935483871,0.0810313004182275,True,2,250.84021119752137,-0.12331131095826264,-0.11315601292498711,-0.13908400266932291,-0.23503446055765398,0.04293005769945421,0.6543687657876907,0.0259279897443358,2.4266196461767002,1.0
chemo_with_surgery,보조 항암치료 (수술 유형 보정),chemo,True,1341,420,31.319910514541387,22.14765100671141,0.055927742561526474,True,5,278.3426903025644,-0.03391458365450417,-0.02055617461360343,-0.02334028930757248,-0.1264337882196991,0.10176938463091434,0.9087992467529659,0.013358409040900743,1.4326537232344956,1.0
radio_mastectomy,방사선치료 (전절제 후),radio,False,767,584,76.14080834419818,49.282920469361144,0.02550566539160618,True,6,432.2227625339859,-0.06117622451078142,-0.0418990040601529,-0.05316358302947094,-0.13758205754053238,0.018219286423982708,0.779240656190416,0.01927722045062852,1.8862598226247242,1.0
radio_conserving,방사선치료 (유방보존술 후),radio,False,574,135,23.519163763066203,91.28919860627178,0.09046836660704324,True,4,128.9583775626812,0.03306598709167552,-0.0002853793688289419,-0.0035594586355281593,-0.2515888060684449,0.16696892639984168,0.9555321336086751,0.03662544572720368,1.2672248381775721,1.0
