policy,patients,episodes,mean_utility,survived_5y_pct,recurred_by_5y_pct,mean_toxicity_count,neoadjuvant_rate_pct,bcs_rate_pct,intensified_chemo_rate_pct,extended_endocrine_rate_pct,regional_radiation_rate_pct
MCTS,40,4000,0.8055343333333332,75.4,5.225,0.2375,20.0,59.25,25.0,15.225,18.675
NCCN,40,4000,0.7848783333333332,74.2,6.825,0.27475,0.0,90.0,0.0,0.0,5.5
